lines_added,lines_deleted,commit_count,error_rate,latency_ms,latency_increase,test_coverage,bug_count,deploy_type,env,rollback_needed,code_churn
1136,187,44,0.2791442458739601,140.9770921011701,0.2869748254212975,0.5205851198879166,13,2,0,1,1323
1469,328,98,0.18789032843215975,589.6443096981395,0.14287325935817097,0.1321661063748597,35,2,0,1,1797
870,543,60,0.02518671092127048,316.1141867713187,0.6753115917857457,0.7395354304929824,15,1,0,1,1413
1304,782,9,0.2654980840185078,676.5952447782275,0.4503245881466591,0.08604556517420259,2,2,0,1,2086
1140,996,2,0.08066245480245444,675.2660215381009,0.23516970106998092,0.17715066580137007,21,2,0,1,2136
1105,396,56,0.07313084792481823,719.7571004147152,0.1376279995662032,0.1492264815531631,42,1,1,1,1501
1734,516,30,0.08912729063409625,992.841824838871,0.5804795944416334,0.9390334041664841,4,1,0,1,2250
1054,458,22,0.17316067083778722,417.36282445003513,0.7255499402075744,0.6981560032046488,1,1,0,0,1512
1648,329,75,0.16340642803019298,492.04970076084584,0.28388696212311526,0.41128592916476003,11,0,0,1,1977
131,819,81,0.1474241263868645,814.3811159740739,0.7351425353471239,0.822204150848802,44,1,1,0,950
476,844,13,0.2152610590537881,599.4515218707911,0.1831221987327719,0.21595940952226433,1,2,0,1,1320
1248,168,71,0.0949613194004877,85.39435015340965,0.3384156910951093,0.9310932790450988,36,1,1,1,1416
340,692,16,0.23461935647172932,850.9245942468636,0.7448822867999555,0.6969973208791025,18,1,0,1,1032
1492,365,97,0.05259650351357974,98.92374784113892,0.6601435196470793,0.5595806410081322,23,1,0,0,1857
97,177,45,0.23478623672310278,212.27912966719506,0.2705236269039125,0.7946484487033281,4,2,1,1,274
1406,654,65,0.19914303157508484,146.97596862547783,0.12213500154693313,0.6447809814251584,25,2,0,1,2060
1133,361,11,0.20496249286427595,124.03077623706417,0.04247342494724193,0.8871092750104823,27,1,1,1,1494
